ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORDENADAS-ETRS89,COORDENADAS-WGS84,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo,CANTIDAD_JUEGOS_POR_TIPO,CAPACIDAD_MAX
5178801,Area_infantil,205,Rosas,20.0,San_blas-canillejas,Operativo,"[448842.152, 4476238.135]","[-3.60316578, 40.43521364]",Avenida,Arcentales,037,28022.0,"Avenida_arcentales, 037",31042673.0,2019-07-01T00:00:00Z,20210,AE21,9,Infantil,"{'Deportivas': 16, 'Infantiles': 10, 'Mayores': 0}",32
5199521,Area_infantil,151,Ventas,15.0,Ciudad_lineal,Operativo,"[444327.514, 4474898.871]","[-3.65627419, 40.42285887]",Avenida,Marques_de_corbera,001,28017.0,"Avenida_marques_de_corbera, 001",20167607.0,2019-09-17T00:00:00Z,15143,AE21,3,Infantil,"{'Deportivas': 0, 'Infantiles': 1, 'Mayores': 0}",15
5207246,Area_infantil,206,Rejas,20.0,San_blas-canillejas,Operativo,"[450057.19, 4477144.55]","[-3.5889121, 40.44345306]",Calle,Deyanira,17A,28022.0,"Calle_deyanira, 17A",31005980.0,2019-10-18T00:00:00Z,20212,AE21,10,Infantil,"{'Deportivas': 0, 'Infantiles': 5, 'Mayores': 0}",37
5208757,Area_infantil,163,Canillas,16.0,Hortaleza,Operativo,"[446701.49, 4479494.13]","[-3.62867666, 40.46441103]",Calle,El_provencio,014,28043.0,"Calle_el_provencio, 014",20063255.0,5208757-FECHA_INSTALACION-incorrecta,16233,AE21,16,Infantil,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 9}",26
18233,Area_infantil,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[439276.794, 4466033.452]","[-3.71496361, 40.34264146]",Calle,Santa_joaquina_de_vedruna,001,28021.0,"Calle_santa_joaquina_de_vedruna, 001",31013564.0,2003-01-01T00:00:00Z,17061,AE21,9,Infantil,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",30
18235,Area_infantil,172,San_cristobal,17.0,Villaverde,Operativo,"[441647.537, 4466425.64]","[-3.68708793, 40.34634369]",Calle,Burjasot,020,28021.0,"Calle_burjasot, 020",11142982.0,2003-01-01T00:00:00Z,17063,AE21,5,Infantil,"{'Deportivas': 0, 'Infantiles': 2, 'Mayores': 0}",11
18237,Area_infantil,172,San_cristobal,17.0,Villaverde,Operativo,"[441569.336, 4466268.083]","[-3.68799425, 40.34491885]",Calle,Burjasot,018,28021.0,"Calle_burjasot, 018",11142981.0,2007-01-01T00:00:00Z,17066,AE21,11,Infantil,"{'Deportivas': 0, 'Infantiles': 7, 'Mayores': 0}",30
18239,Area_infantil,172,San_cristobal,17.0,Villaverde,Operativo,"[441386.55, 4466412.48]","[-3.69015958, 40.34620684]",Calle,Burjasot,006,28021.0,"Calle_burjasot, 006",11126090.0,2003-01-01T00:00:00Z,17068,AE21,9,Infantil,"{'Deportivas': 0, 'Infantiles': 13, 'Mayores': 0}",14
18243,Area_infantil,174,Los_rosales,17.0,Villaverde,Operativo,"[441954.01, 4467893.99]","[-3.68361309, 40.35959286]",Carretera,Villaverde_a_vallecas,033,28041.0,"Carretera_villaverde_a_vallecas, 033",31024944.0,2003-01-01T00:00:00Z,17071,AE21,5,Infantil,"{'Deportivas': 0, 'Infantiles': 2, 'Mayores': 0}",12
18246,Area_infantil,175,Angeles,17.0,Villaverde,Operativo,"[441071.88, 4467200.32]","[-3.69393723, 40.35328201]",Calle,La_dolorosa,023,28041.0,"Calle_la_dolorosa, 023",11143048.0,2002-01-01T00:00:00Z,17077,AE21,12,Infantil,"{'Deportivas': 0, 'Infantiles': 5, 'Mayores': 0}",18
18248,Area_infantil,174,Los_rosales,17.0,Villaverde,Operativo,"[441367.67, 4467843.21]","[-3.69051333, 40.35909439]",Avenida,Felicidad,019,28041.0,"Avenida_felicidad, 019",20061611.0,2003-01-01T00:00:00Z,17079,AE21,10,Infantil,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",22
18250,Area_infantil,174,Los_rosales,17.0,Villaverde,Operativo,"[441538.16, 4467665.29]","[-3.6884893, 40.35750355]",Calle,Alianza,14A,28041.0,"Calle_alianza, 14A",31052480.0,2007-01-01T00:00:00Z,17080,AE21,11,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",17
